Order_ID,Customer_ID,Order_Date,Product,Category,Quantity,Price,City,Total_Amount
ORD00001,CUST03445,23-05-2023,Tablet,Electronics,2,45544,Mumbai,91088
ORD00002,CUST02977,28-05-2022,Watch,Fashion,2,9478,Delhi,18956
ORD00003,CUST00974,09-11-2022,Headphones,Electronics,3,42886,Bangalore,128658
ORD00004,CUST00008,09-05-2022,Laptop,Electronics,2,35872,Hyderabad,71744
ORD00005,CUST01275,19-09-2022,Shoes,Fashion,1,41226,Pune,41226
ORD00006,CUST01158,28-07-2022,Shoes,Fashion,3,17535,Hyderabad,52605
ORD00007,CUST03397,04-08-2023,Tablet,Electronics,2,2228,Pune,4456
ORD00008,CUST00462,05-02-2022,Tablet,Electronics,5,41521,Delhi,207605
ORD00009,CUST01169,04-05-2023,T-shirt,Fashion,5,32810,Chennai,164050
ORD00010,CUST03843,14-02-2023,Camera,Electronics,5,32641,Bangalore,163205
ORD00011,CUST01223,15-03-2023,Tablet,Electronics,2,3959,Mumbai,7918
ORD00012,CUST00272,24-03-2023,Shoes,Fashion,5,14228,Bangalore,71140
ORD00013,CUST00748,10-06-2022,Camera,Electronics,1,36921,Hyderabad,36921
ORD00014,CUST04194,13-04-2022,T-shirt,Fashion,4,30397,Delhi,121588
ORD00015,CUST04089,01-09-2023,Headphones,Electronics,2,34653,Bangalore,69306
ORD00016,CUST02250,16-08-2022,Watch,Fashion,3,30949,Mumbai,92847
ORD00017,CUST02013,10-11-2023,T-shirt,Fashion,1,18438,Chennai,18438
ORD00018,CUST02972,28-01-2023,Shoes,Fashion,2,20022,Hyderabad,40044
ORD00019,CUST01790,27-09-2023,T-shirt,Fashion,5,1476,Hyderabad,7380
ORD00020,CUST02952,27-09-2023,Laptop,Electronics,2,28488,Chennai,56976
ORD00021,CUST02020,24-03-2022,Watch,Fashion,3,28086,Pune,84258
ORD00022,CUST04482,03-12-2022,Headphones,Electronics,1,28769,Mumbai,28769
ORD00023,CUST04122,30-09-2022,Watch,Fashion,1,25947,Bangalore,25947
ORD00024,CUST02668,20-06-2022,Shoes,Fashion,1,36826,Bangalore,36826
ORD00025,CUST01051,20-10-2022,Headphones,Electronics,3,27855,Hyderabad,83565
ORD00026,CUST03951,10-11-2022,Mobile,Electronics,4,34507,Mumbai,138028
ORD00027,CUST04466,17-02-2022,T-shirt,Fashion,2,24906,Hyderabad,49812
ORD00028,CUST03688,25-06-2022,Watch,Fashion,1,13056,Hyderabad,13056
ORD00029,CUST04168,09-10-2022,Watch,Fashion,3,10606,Mumbai,31818
ORD00030,CUST02079,20-01-2022,Tablet,Electronics,5,12622,Mumbai,63110
ORD00031,CUST00429,03-04-2023,T-shirt,Fashion,2,40832,Delhi,81664
ORD00032,CUST03370,21-11-2023,Watch,Fashion,1,7947,Pune,7947
ORD00033,CUST03908,12-09-2022,T-shirt,Fashion,2,14429,Bangalore,28858
ORD00034,CUST02159,28-03-2022,Shoes,Fashion,4,15047,Chennai,60188
ORD00035,CUST04805,14-11-2022,T-shirt,Fashion,1,32252,Pune,32252
ORD00036,CUST03147,24-04-2023,Camera,Electronics,3,16535,Delhi,49605
