Payment_ID,Order_ID,Payment_Method,Payment_Status
PAY00001,ORD18480,UPI,Failed
PAY00002,ORD05913,Net Banking,Success
PAY00003,ORD09449,UPI,Success
PAY00004,ORD16414,Cash,Success
PAY00005,ORD12198,UPI,Success
PAY00006,ORD06230,Card,Success
PAY00007,ORD03756,Net Banking,Success
PAY00008,ORD04807,Cash,Success
PAY00009,ORD02665,Net Banking,Success
PAY00010,ORD13924,UPI,Failed
PAY00011,ORD12509,Card,Success
PAY00012,ORD04540,Card,Success
PAY00013,ORD19473,Net Banking,Success
PAY00014,ORD08110,Cash,Success
PAY00015,ORD04139,Cash,Success
PAY00016,ORD17474,Card,Failed
PAY00017,ORD13363,Net Banking,Success
PAY00018,ORD05184,Cash,Success
PAY00019,ORD01531,UPI,Success
PAY00020,ORD18560,Card,Failed
PAY00021,ORD04001,Cash,Success
PAY00022,ORD06414,Cash,Success
PAY00023,ORD19582,Net Banking,Failed
PAY00024,ORD06817,Net Banking,Failed
PAY00025,ORD12205,Net Banking,Failed
PAY00026,ORD13511,Net Banking,Success
PAY00027,ORD05133,Card,Success
PAY00028,ORD18615,UPI,Success
PAY00029,ORD00238,Net Banking,Success
PAY00030,ORD02529,Net Banking,Failed
PAY00031,ORD13202,Net Banking,Success
PAY00032,ORD19913,Net Banking,Success
PAY00033,ORD15880,Net Banking,Success
PAY00034,ORD00127,UPI,Success
PAY00035,ORD19431,Cash,Success
PAY00036,ORD10867,Cash,Success
PAY00037,ORD15169,Card,Success
PAY00038,ORD04338,UPI,Success
PAY00039,ORD03264,Cash,Success
PAY00040,ORD14536,Card,Success
PAY00041,ORD17883,UPI,Success
PAY00042,ORD16686,Cash,Success
PAY00043,ORD13810,UPI,Success
PAY00044,ORD01363,UPI,Success
PAY00045,ORD07055,Cash,Failed
PAY00046,ORD05450,Net Banking,Success
PAY00047,ORD17759,Cash,Success
PAY00048,ORD14967,Card,Success
PAY00049,ORD18161,Cash,Success
PAY00050,ORD13670,Cash,Failed
PAY00051,ORD02722,UPI,Success
PAY00052,ORD05495,Cash,Success
PAY00053,ORD02304,Card,Failed
PAY00054,ORD12897,Card,Success
PAY00055,ORD15494,Cash,Success
PAY00056,ORD12069,Card,Success
PAY00057,ORD19042,UPI,Failed
PAY00058,ORD15888,Cash,Success
PAY00059,ORD13357,Net Banking,Success
PAY00060,ORD04221,UPI,Success
PAY00061,ORD03241,UPI,Success
PAY00062,ORD13992,UPI,Success
PAY00063,ORD13237,UPI,Success
PAY00064,ORD07593,Net Banking,Success
PAY00065,ORD17818,Net Banking,Success
PAY00066,ORD03624,UPI,Success
PAY00067,ORD02222,UPI,Failed
PAY00068,ORD11915,Net Banking,Success
PAY00069,ORD05787,Cash,Success
PAY00070,ORD14864,Card,Success
PAY00071,ORD16153,Cash,Success
PAY00072,ORD07805,Card,Success
PAY00073,ORD17058,Net Banking,Success
PAY00074,ORD17302,Card,Success
PAY00075,ORD02691,Net Banking,Success
PAY00076,ORD05503,Net Banking,Success
PAY00077,ORD01131,Net Banking,Success
PAY00078,ORD10614,UPI,Success
PAY00079,ORD13148,UPI,Failed
PAY00080,ORD04869,Cash,Success
PAY00081,ORD08971,Card,Success
PAY00082,ORD15593,Cash,Success
PAY00083,ORD11200,Net Banking,Success
PAY00084,ORD18618,Cash,Success
PAY00085,ORD12292,Card,Success
PAY00086,ORD12563,Cash,Success
PAY00087,ORD13643,UPI,Success
PAY00088,ORD18409,UPI,Success
